1;3339.00;12.20;1519.00;small
2;2394.00;16.70;1125.00;big
3;2060.00;12.68;1124.00;big
3;1988.00;14.90;1158.00;big
4;2273.00;15.35;1630.00;big
5;2257.00;16.55;1429.00;big
6;2708.00;15.23;1338.00;big
7;1930.00;15.70;1025.00;big
8;2036.00;10.70;894.00;big
8;2200.00;13.28;591.00;big
9;2221.00;9.50;667.00;big
9;2131.00;9.50;798.00;big
10;2036.00;16.02;1815.00;big
11;1658.00;12.28;1680.00;big
11;1668.00;12.88;1544.00;big
12;1874.00;15.93;1349.00;big
13;2199.00;12.80;815.00;big
14;1618.00;14.85;1891.00;big
14;1513.00;13.50;1959.00;big
15;2514.00;17.55;971.00;big
16;1732.00;9.50;941.00;big
16;1413.00;9.50;1357.00;big
17;1132.00;9.50;2068.00;big
17;1688.00;9.50;1832.00;big
18;781.00;9.50;216.00;big
18;1601.00;9.50;246.00;big
19;614.00;9.50;1585.00;big
19;413.00;9.50;980.00;big
20;46.00;9.50;278.00;big
20;208.00;9.50;490.00;big
21;3059.00;9.50;534.00;big
21;3444.00;9.50;591.00;big
22;3708.00;9.50;165.00;big
22;3452.00;9.50;136.00;big
23;3802.00;9.50;747.00;big
23;3973.00;9.50;982.00;big
24;4367.00;9.50;1440.00;big
24;4026.00;9.50;1257.00;big
25;4444.00;9.50;1939.00;big
25;4628.00;9.50;1815.00;big
26;5061.00;9.50;1508.00;big
26;5283.00;9.50;1025.00;big
27;4494.00;9.50;439.00;big
27;5214.00;9.50;215.00;big
28;2178.00;14.20;1166.00;big
29;2165.00;15.98;1041.00;big
30;2321.00;16.70;1029.00;big
31;2185.00;14.05;920.00;big
31;2315.00;15.73;909.00;big
32;2010.00;12.85;1062.00;small
33;2126.00;17.10;1716.00;big
34;2027.00;15.90;1582.00;big
35;2135.00;17.60;1592.00;big
36;1889.00;13.35;1799.00;big
37;1676.00;11.53;1739.00;big
37;1738.00;13.07;1808.00;big
37;1773.00;14.35;1729.00;big
38;2238.00;18.25;1239.00;big
38;2283.00;15.78;1321.00;big
39;2143.00;15.38;1251.00;big
40;2121.00;15.55;1383.00;big
41;2206.00;15.53;1510.00;big
42;2590.00;15.75;1189.00;big
43;2424.00;11.30;1311.00;big
44;2567.00;16.20;1362.00;big
45;2602.00;11.63;1084.00;big
46;2413.00;15.95;965.00;big
47;2633.00;15.15;939.00;big
48;2404.00;16.15;810.00;big
48;2495.00;15.75;757.00;big
49;2607.00;15.40;814.00;big
50;2292.00;14.35;786.00;big
51;1746.00;11.88;1183.00;big
51;1820.00;13.80;1093.00;big
